新开源,300109
Ｒ-091,131805
*ST武锅B,200770
中国海诚,002116
双佳B,150080
全聚德,002186
天立环保,300156
富奥股份,000030
信维通信,300136
津滨发展,000897
桑乐金,300247
浙富股份,002266
四川九洲,000801
永安林业,000663
光正集团,002524
景顺资源,162607
ST宏业,000689
南玻A,000012
南玻B,200012
大港股份,002077
粤电力A,000539
新能泰山,000720
开元仪器,300338
栋梁新材,002082
*ST成霖,002047
天威视讯,002238
利君股份,002651
隆平高科,000998
春晖股份,000976
长城信息,000748
ST五环,000412
南方积配,160105
北信源,300352
润邦股份,002483
以岭药业,002603
众和股份,002070
银禧科技,300221
捷顺科技,002609
华富强债,164105
国兴地产,000838
中捷股份,002021
德力股份,002571
锦富新材,300128
*ST大洋B,200057
模塑科技,000700
富国天惠,161005
中小板A,150085
绵世股份,000609
吉林化纤,000420
江南化工,002226
漫步者,002351
雷伊B,200168
粤华包B,200986
吴通通讯,300292
甘肃电投,000791
通达动力,002576
PT南洋,000556
胜利股份,000407
长安B,200625
苏大维格,300331
海印股份,000861
江苏宏宝,002071
同辉100A,150108
唐人神,002567
利欧股份,002131
万达信息,300168
同辉100B,150109
宏源证券,000562
新大陆,000997
棕榈园林,002431
远光软件,002063
国海证券,000750
围海股份,002586
东力传动,002164
银华金瑞,150059
深天地A,000023
东阿阿胶,000423
申万收益,150022
烽火电子,000561
国联水产,300094
新乡化纤,000949
宜通世纪,300310
达安基因,002030
万家优选,161903
成都路桥,002628
永安药业,002365
英飞拓,002528
科新机电,300092
四川双马,000935
雅克科技,002409
金明精机,300281
罗普斯金,002333
南方500,160119
深天健,000090
日发精机,002520
秦川发展,000837
美的电器,000527
华宸300,167901
石基信息,002153
德信B,150134
长春高新,000661
德信A,150133
消费ETF,159928
新大新材,300080
莱茵生物,002166
安纳达,002136
麦迪电气,300341
云内动力,000903
凯恩股份,002012
山西三维,000755
金信诺,300252
广州友谊,000987
长城股份,000569
信隆实业,002105
众合机电,000925
海富100,162307
信质电机,002664
深大通,000038
三川股份,300066
建信进取,150037
瑞丰高材,300243
消费进取,150050
温州宏丰,300283
同洲电子,002052
广州浪奇,000523
红宝丽,002165
东方市场,000301
常山药业,300255
南天信息,000948
立讯精密,002475
S*ST佳纸,000699
银亿股份,000981
实益达,002137
海陆重工,002255
航天电器,002025
永大集团,002622
德豪润达,002005
苏泊尔,002032
银轮股份,002126
天汽模,002510
天舟文化,300148
大金重工,002487
禾盛新材,002290
南岭民爆,002096
东方钽业,000962
御银股份,002177
云南白药,000538
500深ETF,159932
东晶电子,002199
海信科龙,000921
新华联,000620
银华鑫瑞,150060
苏州固锝,002079
汇川技术,300124
光一科技,300356
天虹商场,002419
森马服饰,002563
*ST国商,000056
雷柏科技,002577
远东传动,002406
横店东磁,002056
远程电缆,002692
豫金刚石,300064
三力士,002224
西泵股份,002536
大康牧业,002505
中福实业,000592
东方宾馆,000524
锦化退市,000763
中小企债,160621
科伦药业,002422
S*ST聚友,000693
*ST中基,000972
美亚光电,002690
一汽夏利,000927
广济药业,000952
华联股份,000882
*ST长兴,000827
江西水泥,000789
宗申动力,001696
南方泵业,300145
拓日新能,002218
华中数控,300161
中科金财,002657
中工国际,002051
诺普信,002215
ST海洋,000658
中航光电,002179
飞力达,300240
基金普惠,184689
佰利联,002601
粤传媒,002181
信立泰,002294
新天科技,300259
新华都,002264
钱江摩托,000913
山东路桥,000498
兴业矿业,000426
华仁药业,300110
浩物股份,000757
北京君正,300223
松德股份,300173
帝龙新材,002247
长盛300,160807
三全食品,002216
中航动控,000738
惠裕B,150114
长城集团,300089
广宇集团,002133
兴森科技,002436
超华科技,002288
广陆数测,002175
ST华新,000010
国际实业,000159
盐田港,000088
禾欣股份,002343
吉林敖东,000623
海达股份,300320
东南网架,002135
华昌达,300278
华兰生物,002007
鲁丰股份,002379
信邦制药,002390
高盟新材,300200
恒天天鹅,000687
华灿光电,300323
鑫富药业,002019
桂林三金,002275
金亚科技,300028
中粮地产,000031
*ST太光,000555
白云山A,000522
八菱科技,002592
Ｒ-014,131802
鸿特精密,300176
珠海港,000507
依米康,300249
延华智能,002178
承德露露,000848
PT中浩B,200015
中银中国,163801
金浦钛业,000545
金马股份,000980
艾迪西,002468
南方300,159925
安泰科技,000969
皖通科技,002331
国光电器,002045
增利B,150045
增利A,150044
燃控科技,300152
康达新材,002669
南京港,002040
露笑科技,002617
*ST龙涤,000832
荣安地产,000517
ＲＣ-002,131911
同丰B,150115
滨海能源,000695
ＲＣ-007,131901
亚太实业,000691
理工监测,002322
中集B,200039
振华科技,000733
常发股份,002413
深圳机场,000089
深天马A,000050
中小等权,159921
天银机电,300342
罗莱家纺,002293
